,idx
0,1;Afghanistan;91969;AFN;1175
1,2;Aland Islands;4296;EUR;4721
2,3;Albania;110594;ALL;990
3,4;Algeria;258324;DZD;2148
4,5;American Samoa;1847;USD;15
5,6;Andorra;3082;EUR;3387
6,7;Angola;308496;AOA;809
7,8;Anguilla;1976;XCD;731
8,9;Antigua and Barbuda;3710;XCD;1372
9,10;Argentina;22281;ARS;386
10,11;Armenia;1053271;AMD;2210
11,12;Aruba;4962;AWG;2756
12,13;Australia;8940;AUD;6027
13,14;Austria;4475;EUR;4918
14,15;Azerbaijan;3484;AZN;2043
15,16;Bahamas;3737;BSD;3738
16,17;Bahrain;1746;BHD;4631
17,18;Bangladesh;67401;BDT;796
18,19;Barbados;3748;BBD;1857
19,20;Belarus;43776134;BYR;2233
20,21;Belgium;4883;EUR;5366
21,22;Belize;4387;BZD;2177
22,23;Benin;501846;XOF;840
23,24;Bermuda;1884;BMD;1884
24,25;Bhutan;44002;BTN;620
25,26;Bolivia;11326;BOB;1638
26,27;Bosnia and Herzegovina;2646;BAM;1485
27,28;Botswana;13872;BWP;1256
28,30;Brazil;13268;BRL;3263
29,31;British Indian Ocean Territory;3162;USD;777
30,32;Brunei;3799;BND;2753
31,33;Bulgaria;3296;BGN;1852
32,34;Burkina Faso;570959;XOF;955
33,35;Burundi;1397097;BIF;756
34,36;Cambodia;3814133;KHR;934
35,37;Cameroon;699967;XAF;1172
36,38;Canada;7134;CAD;5366
37,39;Cape Verde;382574;CVE;3810
38,40;Cayman Islands;3830;KYD;4598
39,41;Central African Republic;511130;XAF;855
40,42;Chad;575601;XAF;963
41,43;Chile;1920605;CLP;2681
42,44;China;34606;CNY;4841
43,45;Christmas Island;8981;AUD;6055
44,46;Cocos (Keeling) Islands;7192;AUD;4848
45,47;Colombia;6427806;COP;1872
46,48;Comoros;900796;KMF;2008
47,49;Congo;515256;XAF;862
48,50;Congo Democratic Republic;2449916;CDF;1471
49,51;Cook Islands;6454;NZD;4062
50,52;Costa Rica;1938013;CRC;3326
51,53;Cote Divoire;775979;XOF;1299
52,54;Croatia;15535;HRK;2300
53,55;Cuba;25918;CUP;978
54,56;Cyprus;4021;EUR;4419
55,57;Czech Republic;68818;CZK;2933
56,58;Denmark;51990;DKK;7651
57,59;Djibouti;325259;DJF;1830
58,60;Dominica;3256;XCD;1204
59,61;Dominican Republic;23465;DOP;448
60,62;East Timor;2610;USD;49
61,63;Ecuador;2612;USD;49
62,64;Egypt;13075;EGP;802
63,65;El Salvador;1963;USD;120
64,66;Equatorial Guinea;917042;XAF;1535
65,67;Eritrea;20982;ERN;1398
66,68;Estonia;19690;EEK;1312
67,69;Ethiopia;10511;ETB;356
68,70;Falkland Islands (Malvinas);1841;FKP;2264
69,71;Faroe Islands;34229;DKK;5037
70,72;Fiji;6853;FJD;3114
71,73;Finland;5540;EUR;6088
72,74;France;5942;EUR;6530
73,75;French Guiana;3701;EUR;4067
74,76;French Polynesia;171984;XPF;1583
75,77;French Southern Territories;3311;EUR;3638
76,78;Gabon;795320;XAF;1331
77,79;Gambia;58380;GMD;1156
78,80;Georgia;7969;GEL;2687
79,81;Germany;5451;EUR;5990
80,82;Ghana;5988;GHS;1100
81,83;Gibraltar;3996;GIP;4915
82,84;Greece;3333;EUR;3663
83,85;Greenland;33364;DKK;4910
84,86;Grenada;3340;XCD;1235
85,87;Guadeloupe;4947;EUR;5437
86,88;Guam;1874;USD;2059
87,89;Guatemala;8038;GTQ;1034
88,90;Guernsey;4023;GBP;4956
89,91;Guinea;10738370;GNF;1161
90,92;Guinea-Bissau;403076;XOF;674
91,93;Guyana;201731;GYD;967
92,94;Haiti;80770;HTG;841
93,95;Heard Island and McDonald Islands;4312;AUD;2907
94,96;Honduras;20231;HNL;822
95,97;Hong Kong;54001;HKD;6883
96,98;Hungary;743227;HUF;2450
97,99;Iceland;811567;ISK;6534
98,100;India;19599;INR;276
99,101;Indonesia;18393713;IDR;1298
100,102;Iran;61376848;IRR;1457
101,103;Iraq;3072066;IQD;2574
102,104;Ireland;4305;EUR;4731
103,105;Italy;4310;EUR;4736
104,106;Jamaica;166414;JMD;1241
105,107;Japan;802090;JPY;7505
106,108;Jersey;3953;GBP;4870
107,109;Jordan;2226;JOD;3139
108,110;Kazakhstan;618926;KZT;1590
109,111;Kenya;173480;KES;1671
110,112;Kiribati;6078;AUD;4097
111,113;Korea (North);372516;KPW;413
112,114;Korea (South);5096341;KRW;4258
113,115;Kuwait;1493;KWD;4910
114,116;Kyrgyzstan;99647;KGS;1427
115,117;Laos;11221906;LAK;1273
116,118;Latvia;1498;LVL;2476
117,119;Lebanon;4248155;LBP;2810
118,120;Lesotho;12507;LSL;831
119,121;Liberia;175285;LRD;832
120,122;Libya;4387;LYD;3103
121,123;Liechtenstein;6273;CHF;6312
122,124;Lithuania;6154;LTL;2084
123,125;Luxembourg;6663;EUR;7322
124,126;Macao;8809;MOP;1090
125,127;Macedonia;61729;MKD;1103
126,128;Madagascar;3783186;MGA;1015
127,129;Malawi;757411;MWK;1031
128,130;Malaysia;9225;MYR;2200
129,131;Maldives;25299;MVR;1637
130,132;Mali;506488;XOF;848
131,133;Malta;3169;EUR;3482
132,134;Marshall Islands;2664;USD;2927
133,135;Martinique;3556;EUR;3908
134,136;Mauritania;508551;MRO;1424
135,137;Mauritius;50907;MUR;1406
136,138;Mayotte;3057;EUR;3359
137,139;Mexico;53560;MXN;2738
138,140;Micronesia;1659;USD;84
139,141;Moldova;63891;MDL;3611
140,142;Monaco;4
